Total segments: 1383
Duration: 3615s = 60:14

[0] 0:00 | בוקר טוב עמית ויונתן.
[855] 38:02 | הרעות ביותר. כן.
[856] 38:03 | >> כן. ויש שם אני כאילו השתקלתי
[857] 38:08 | ממש א דברים עם הדבר היה דבר אחד שכמובן
[858] 38:12 | אני מתפלא שהוא לא המקום הראשון א שזה
[859] 38:14 | הבלוט הפיליפיני שזה באמת כנראה המנה
[860] 38:18 | המפחידה ביותר בעולם הביצה שבתוכה יש
[861] 38:21 | הביצה עם הברוז בפנים הביצה עם האפרוח
[862] 38:25 | השלם שהוא בתוך הביצה נתג צפו בבשמע ממש
[863] 38:30 | טוב ביצה וברוז
[864] 38:31 | >> לא זה באמת זה המנה אני חושב שבנת את המנה
[865] 38:34 | היחידה שסרבתי לטעום עד היום בחיי
[866] 38:38 | >> זה אומר המון חברים
[867] 38:39 | >> כן אז הבלוט במקום הכמעט אחרון אבל לא
[868] 38:43 | האחרון במקום האחרון א איזה סלט רוסי
[869] 38:47 | שנקרא אינדיגירקה אינדיגירקה סלד וזה סלט
[870] 38:51 | של דג כפו שעושים אותו בעצם מקוביות של דג
[871] 38:55 | כפו
[872] 38:56 | >> אבל למה אתה במקום ה-19 וה97 למה לא לצמרת
[873] 39:00 | זה הכי מגעיל לא
[874] 39:01 | >> לא מה פתאום לא ממש טובים שם בתי סטאטלס
[875] 39:05 | עשו פוסט קרוסלה והתחילו מהסוף להתחלה זה
[876] 39:07 | כל כך קטן שזה גם לא קריט קרוסלה
[877] 39:09 | >> זה פוסט קרוסלה ושו
[878] 39:13 | זה לא הכי מדהים לא המנה הכי מדהימה היא
[879] 39:16 | מגיעה משוודיה
[880] 39:17 | >> אה אני הסתכלתי הפוך איזה פדיחה מה אוקיי
[881] 39:21 | >> פיצה וולקנן
[882] 39:22 | >> ואז שאתה עובר על הטופ 20
[883] 39:26 | >> מה אני לא מאמין קוגל ירושלמי במקום השישי
[884] 39:29 | >> אנחנו על המפה
[885] 39:30 | >> מה זה החוצפה הזאת כן.
[886] 39:35 | אני טוה אם הורידו לו דרוג כי זה ישראל.
[887] 39:38 | >> ברור אנחנו מבינים כבר איך באיזה עולם
[888] 39:40 | קוגל ירושלמי זה כל כך טעים, זה נפלא, זה
[889] 39:43 | נהדר.
[890] 39:44 | אנחנו מסתכלים הלאה בדירוג ועולים 11
[891] 39:46 | מקומות קדימה ואתה רואה פה במקום ה-17
[892] 39:50 | תמונה של משהו לא מזוהה.
[893] 39:51 | >> כן.
[894] 39:52 | >> תחת הכיתוב כיכל
[895] 39:54 | >> ודגל ישראל. מה זה כיכל? אני
[896] 39:57 | >> לא שמעתי בעולם ככל.
[897] 39:58 | >> יונתן
[898] 39:59 | >> מה
[899] 39:59 | >> נתה? את לא הולכת לבית כנסת בשבת
[900] 40:02 | >> אתה
[901] 40:02 | >> הייתי יותר ממך בבית כנסת בשבת כנראה
[902] 40:06 | אתן צודק אייר קיכל זה קרקר כזה שעשוי מ
[903] 40:10 | >> קרקר עוגיה כזה
[904] 40:12 | >> קרקר עוגיה קשה כזה שבדרך כלל אוכלים אותו
[905] 40:14 | עם הדג מלוח א כלומר נניח במעדניות הדגים
[906] 40:18 | שיש במ שערים ובגאול היונתן אפשר לפעמים
[907] 40:21 | יש קופסאות של ממש כתוב על זה כיכל א
[908] 40:24 | עכשיו זה כיכל גם עם העין כמובן כזה קיכל
[909] 40:27 | אה זה מין קרקר על א בסיס בסיס של ביצים
[910] 40:30 | בעיקרון זה באמת דבר לא כל כך טעים אני
[911] 40:33 | חייב להודות זה לא דבר כל כך טעים כיכל
[912] 40:36 | אני לא יודע אם זה בין המזונות המגעילים
[913] 40:39 | בעולם אבל זה בוודאות
[914] 40:41 | אבל וואו יש פה תקשיבו יש פה
[915] 40:42 | >> יש פה עוד משהו שלנו מקום 44 אורז שויט
[916] 40:46 | אורז שוויטורט
[917] 40:47 | >> ובתמונה לא רואים שויט אבל אורז שוויט זה
[918] 40:50 | אחד מהם אורז שויט
[919] 40:51 | >> זה חרפה זה כן זה לא סבבה
[920] 40:54 | >> אבל יש פה הרבה דברים שהם חרפה אחד הדברים
[921] 40:56 | הטעימים בעולם נמצא פה במקום ה-23 שלושה א
[922] 41:00 | וזה האנגו. אנגיסאס זה הצלופחים קטנטנים
[923] 41:04 | שבספרד מגישים אותם כזה בשום ושמן זית
[924] 41:07 | וצ'ילי. זה טעים בטירוף. ויש פה דברים שהם
[925] 41:10 | ממש קונסנזוס שהם מגעילים והם מדורגים
[926] 41:12 | מאוד גבוה יחסית. כלומר לא הכי מגעילים
[927] 41:14 | כמו נגיד הלוטפיס כאנורווגי הדג המוצס
[928] 41:17 | שכזה יש סרטונים שאנשים פותחים את הפחיות
[929] 41:20 | של זה וכזה מקיעים רק מהריח. יש יש עוד
[930] 41:23 | אלמנטים שמעניין לראות שבסוף כאילו המנות
[931] 41:26 | המגעילות באמת ברובן הן כל מיני
[932] 41:29 | קומבינציות או תרגומים של מדינות אוכל
[933] 41:32 | פחות מוצלחות למאכלים פיצה שוודית וכאלה
[934] 41:37 | ומה שמעניין עוד תמיד ברשימות כאלו זה גם
[935] 41:39 | לראות מי לא ברשימה מאכלים מאיזו מדינה לא
[936] 41:42 | נמצאים ש
[937] 41:43 | >> אין פה כלום איטלקי
[938] 41:44 | >> ואין שום דבר טורקי
[939] 41:46 | אין שום דבר אה יש איטלקי יש איטלקי אחד
[940] 41:49 | מוזר במגיד אין טורקיה אין הונגר
[941] 41:53 | אין מקסיקו מעניין מקסיקו גם נכון ממש
[942] 41:55 | >> מותה מותה נו
[943] 41:56 | >> זה לא מות
[944] 41:57 | >> ורמנבורגר זה לא מנה מישהו א פעם טעם רמנב
[945] 42:00 | אני יכול כן אני יכול להבין למה הכוונה א
[946] 42:03 | בקיצור זה מאוד מעניין מה באמת עכשיו
[947] 42:05 | ברצינות מה המאכל הישראלי שאתם הייתם
[948] 42:09 | מדרגים כהכי מגעיל או הכי פחות אהוב
[949] 42:11 | לדעתכם אם היינו עושים דיר כזה בארץ
[950] 42:13 | >> נראה לי שנוי במחלוקת זה כזה רגל קרושה או
[951] 42:16 | משהו כזה
[952] 42:16 | >> רגל קרשה ה מגיע מאוד גבוה אני מסכים אני
[953] 42:18 | חושב שזה זה הכי
[954] 42:20 | >> זה ישראלי
[955] 42:21 | היום זה ישראלי כן זה ישראלי כמו
[956] 42:24 | שגפילטפיש זה ישראלי בוא אזזה אני חושב גם
[957] 42:26 | שרגל קורש היה יכול להיות מדורג מאוד גבוה
[958] 42:29 | גם גפילט מן הסתם היה מדורג מאוד גבוה אבל
[959] 42:31 | אני רו אני חושב מה האם נניח המצ'ומה
[960] 42:35 | הטריפוליטאית או העבנה למיניהם היו מגיעים
[961] 42:38 | שם גבוה כי
[962] 42:39 | >> לא זה תבשילי איברים פנימיים שכשמעשים טוב
[963] 42:42 | הם הטובים בתחומה מה זאת אומרת
[964] 42:43 | >> אני מסכים אבל גם פה יש דברים כאלה כל
[965] 42:45 | מיני
[966] 42:46 | >> בסוף אה
[967] 42:48 | הבושה הישראלית הכי גדולה זה הקוטג'
[968] 42:51 | >> מה נו
[969] 42:52 | >> אתה נגד קוטג'
[970] 42:54 | >> איזה איזה פרובוק רגע זה א פרובוקציה
[971] 42:58 | ריבקשה יונתן כהן עושה פרובוקציה תן לנו
[972] 43:00 | את זה
[973] 43:01 | >> פרובוקציה
[974] 43:02 | >> העלבון הגדול ביותר זה הישראלי בתחום
[975] 43:04 | המטבח הוא גבינת הקוטג'י זה לא שאתה אומר
[976] 43:07 | את זה
[977] 43:08 | >> זה המאכל שיש בכל בית והוא בכל בית
[978] 43:10 | >> מאל שיש בכל בית והוא כתם לכל בית כתם לכל
[979] 43:14 | בית אין דבר שהוא כאילו גם גם מרקמית וגם
[980] 43:17 | גם ויזואלית הוא אני לא חושב שכאילו יש
[981] 43:20 | משהו שמעורר בי רפלקס של הקאה יותר מקוטג'
[982] 43:23 | >> די
[983] 43:24 | >> זה על משקל אמיתונסון אומר נותן ביסה
[984] 43:26 | השבוע לא ארטיק לימון זה על המשקל הזה
[985] 43:29 | בעיניי הרבה יותר גט
[986] 43:31 | >> לא כל אחד מהצד שלו
[987] 43:33 | >> אני זוכר לך מחר אתה תקבל עוגת גזר עם
[988] 43:35 | קוטג אני יכול גם להשבות כאילו לעלות בזה
[989] 43:38 | אז קוטג' קוטג' בעיניי זה השגריר הישראלי
[990] 43:40 | הגרוע מכל נכון יש פה שורשיו מקומיים נכון
[991] 43:43 | של אפשר לומר
[992] 43:44 | >> בביצוע הזה
[993] 43:46 | >> אה עכשיו זה לא תבשיל זה לא מנה אבל זה
[994] 43:48 | כאילו זה זה זה ירק או חומר גלם שאין לו
[995] 43:51 | אין לו מקום והוא בעיניי חייב להיות שם
[996] 43:53 | ברשימה נגיד זה קרוב ניצנים נגיד
[997] 43:57 | >> איזה דבר מיותר זה
[998] 44:00 | >> לא לא לא אמרתי ישראלי הלכתי גלובל עכשיו
[999] 44:03 | >> כי לא גם בגללובלי נגיד גם זה שהטורקים שם
[1000] 44:06 | לא בפנים עם השקמבה שלהם והמרקי קיבה
[1001] 44:08 | למיניהם
[1002] 44:09 | >> זה מאוד מפתיע ששקמב לא מדור שלי שקמבה
[1003] 44:12 | ל-95% מהאנשים מגעיל אין מה לעשות
[1004] 44:15 | >> מגעיל לא זכית
[1005] 44:18 | >> זה שמחתי חבל אני מריח ספשל קובי אני מריח
[1006] 44:22 | ספשל ספשל טעימות ספשל טעימות של מאכלים
[1007] 44:25 | אגילים זה יהיה אחד הטובים שלנו
[1008] 44:28 | >> אני אביא לנו קופסה אני אביא לנו קופסה של
[1009] 44:31 | הדג ה
[1010] 44:32 | >> את הבאת כבר פעם כל מיני דברים נורא
[1011] 44:34 | מעניינים כאלה שפת יונתן מיפן אבל לא
[1012] 44:36 | הסוסטרומינג אני אביא לנו סוסטרומינג
[1013] 44:39 | ההרינג הכבוש ההרנג המוצס
[1014] 44:41 | >> אני לא אין צורך א משהו על
[1015] 44:43 | >> קוטג'כן
[1016] 44:45 | >> אתם זוכרים שפעם הייתה גבינת יוגה
[1017] 44:47 | >> היה דבר כזה כזה,
[1018] 44:48 | >> אתה זוכר?
[1019] 44:49 | >> היה דבר כזה. כן.
[1020] 44:50 | >> זה היה סוג של א קוטג' כזה.
[1021] 44:52 | >> כן. תחזירו לנתא את גבינת היוגה.
[1022] 44:54 | >> וואו. כן.
[1023] 44:55 | >> אבל קוטג' זה נורא טעים. קוטג זה דבר טעים
[1024] 44:58 | באמת.
[1025] 44:58 | >> וואו. אני זוכר פעם אחת יונתן ואני יושבים
[1026] 45:01 | על הבר במחנה יודה
[1027] 45:03 | >> ארוחת סיכום שנה מסורתית ומקבלים מנה של א
[1028] 45:08 | דג נע טרטר דג.
[1029] 45:09 | >> סימי סליחה סימי של דג על הטיח
[1030] 45:12 | וקטג'.
[1031] 45:13 | >> זה עבד. לא
[1032] 45:15 | >> אני כאילו מה זה עבד?
[1033] 45:17 | על הקלח
[1034] 45:19 | >> הסתכלתי נדהם שם היה נחש לא אסף ולא אורי
[1035] 45:23 | אורי זה היה אורי לדעתי
[1036] 45:24 | >> אין סיכוי לא זה ה
[1037] 45:25 | >> אין סיכוי זה אתה מוציא דיבתו עכשיו זה
[1038] 45:27 | יכולים לשלם זה הרבה מאוד כסף אנחנו נבדוק
[1039] 45:29 | >> אין סיכוי זה היה דוכה זה היה מיותר
[1040] 45:33 | לשמחתי המנה לא הריחה ימים
[1041] 45:35 | >> אה אני מאוד אוהב קוטג' אה מה המנה
[1042] 45:38 | המגעילה ביותר שלך בישראל
[1043] 45:40 | >> מנה לא אמרתי ש לא יודעת אם יש איזה משהו
[1044] 45:43 | הכי מגעיל לא יודעת
[1045] 45:45 | >> לא לטעמי לא אומרים מכסל אוכל
[1046] 45:48 | >> סתם אומרים לפעמים
[1047] 45:49 | >> אהבתי אה בואו נלך לטייל אז אני א רוצה
[1048] 45:54 | לדבר על הדוק מסעדה של אסף דוקטור א
[1049] 46:00 | שאכלתי בארוחת ערב בסוף השבוע שעבר כאילו
[1050] 46:04 | ממש לפני כמה ימים והיה פשוט מעולה מעולה
[1051] 46:09 | באמת עכשיו בחיבור גם כזה למה שהמלצתי אני
[1052] 46:13 | חושב שבוע שעבר השביל ישראל של יניב
[1053] 46:16 | המקומות האלה שיש להם תפיסת עולם נורא
[1054] 46:18 | נורא סגורה, הרבה פעמים יכולים להיות קצת
[1055] 46:21 | קשים או לעיכול לקהל הרחב או קצת מתנסאים
[1056] 46:24 | או קצת מעייפים כאילו שאתה מרגיש שאתה
[1057] 46:27 | צריך להתאים את עצמך לשפול למסעדה ולא
[1058] 46:29 | להגיע ולהתארח אז בדוק א הם פועלים כבר
[1059] 46:33 | יותר מעשור צריך להגיד הם לא זזו מילימטר
[1060] 46:36 | מבחינת תפיסת העולם שלהם אבל אם בתחילת
[1061] 46:39 | הדרך התפיסת עולם הזו שהיא כמובן רק מקומי
[1062] 46:42 | חיובה הרבה יותר התגמשויות או ויטורים
[1063] 46:45 | הקולינריה פה כל הזמן מתקדמת ואז החיים של
[1064] 46:48 | אנשים כמו הסף דוקטור הופכים להיות פחות
[1065] 46:49 | מסובכים
[1066] 46:51 | כשפים כי אם לפני עשור נניח הוא לא היה
[1067] 46:53 | יכול להגיש סאבי והוא לא היה יכול להגיש
[1068] 46:55 | קמהין והוא לא יכול היה להגיש אורז למשל
[1069] 46:58 | אז עכשיו יש לו את כל הדברים האלה כי
[1070] 47:00 | החקלאות והיצרנים הקטנים פה וקמח מתגנים
[1071] 47:04 | מקומיים רק פלפל שחור אגב עדיין אין אין
[1072] 47:07 | אבל זה לא חסר אז האוכל פשוט מעולה א
[1073] 47:10 | תפריט גדול מפתא מאוד איזה שמונה מנות על
[1074] 47:12 | בסיס ירקות קודם כל שאתה אתה רוצה כל אחת
[1075] 47:15 | מהן וארבע בנות בסקציית הלחמים אפילו
[1076] 47:18 | שרימפס יש מגידול מקומי בחוות א בקר תעלה
[1077] 47:22 | מהמשקים הכי טובים תוסיפו תפריט יין באמת
[1078] 47:26 | נהדר עם רק לייבלים קטנים למרות שיש גם את
[1079] 47:29 | הכמה מהכוכבים נקרא לזה של העשייה
[1080] 47:32 | הישראלית וקיבלנו באמת עוד מסעדה לרשימה
[1081] 47:34 | הדי מצומצמת של מקומות שהם כזה הראשונים
[1082] 47:37 | שצריך להגיע אליהם כדי להבין מה זה מטבח
[1083] 47:39 | ישראלי חדש יופי
[1084] 47:40 | >> א צריך כמה מנות רוצים מנות
[1085] 47:44 | ברור ברור
[1086] 47:45 | >> א התכתבות פנים ישראלית יפה כזאת עם
[1087] 47:48 | קלאסיקה מקומית אחרת א למתן אברםס באדסון
[1088] 47:52 | יש את החלנות ניו יורק
[1089] 47:53 | >> אז א בדוק היה מנה של נתחים של וסיו כאלה
[1090] 47:57 | פרוסים עשויים מדיום רוזה רוטב של טופי עם
[1091] 48:02 | גרום גבינה וסלסה שומר אז הרוטב הוא הוא
[1092] 48:06 | מזכיר קצת את הרוטב טופי הקלאסי אבל עם
[1093] 48:08 | איזה טעם שמהדד גבינה כחולה אפילו וואו
[1094] 48:11 | איזה טעים
[1095] 48:13 | הייתה סבידה שצלויה, מוברשת לה בשומן טלה
[1096] 48:16 | על על המנגל עם סלט כזה של שומר ושקדים
[1097] 48:20 | וצ'ילי, מין רעיונות תאילנדים בפרשנות על
[1098] 48:23 | טרואר ישראלי. דגים נעים, שתי מנות מעולות
[1099] 48:26 | על אינטיאס, אחד סשימי כזה עם קרם של לי
[1100] 48:29 | למוני מהיר ושמן של פלפלים מתוקים. ומצד
[1101] 48:31 | שני גם טרטר עם וסאבי וקוויר. א ומצד שני
[1102] 48:35 | יש קלאסיקות כאלה שלא זזות מהתפריט מהיום
[1103] 48:37 | הראשון של המסעדה הזאת. נניח הקולבי הצלוי
[1104] 48:40 | בפחר המפורסם עם הגבינה. א
[1105] 48:43 | >> שהיא מתחרה היום במנות החדשות שלהם. זה גם
[1106] 48:45 | מעניין אותי.
[1107] 48:45 | >> אני היא עומדת לגמרי ברמה שהיא חובה א אני
[1108] 48:49 | חושב על כל שולחן ואפילו יותר מזה הסלט
[1109] 48:51 | ירוקים שלהם. כאילו כל ירוקי העונה מלא
[1110] 48:54 | סומק, מלא לימון, שמן זית, לבנה א נורא
[1111] 48:57 | נורא נורא כיף. באמת ארוחה לא עשינו
[1112] 49:00 | קינוחים כי נייערנו להופעה מעבר לכביש
[1113] 49:02 | בצוותא אבל א האוכל היה פשוט אדיר. אה היה
[1114] 49:07 | לי מאוד מאוד כיף. אגב, אם כבר דוק נפרגן
[1115] 49:11 | ממש אתמול לשון הפודקאסט היום שלישי עלתה
[1116] 49:13 | בקאן 11 הסדרה שלו שנקראת הצלחת של הארץ
[1117] 49:17 | המובטחת א שבעצם אסף דוקטור ודוקור אחר
[1118] 49:20 | דקור ג'רמי פוגל יצאו כזה למסע בעקבות
[1119] 49:24 | המקורות האוכל הישראלי יהודי אפשר לקרוא
[1120] 49:26 | לזה שנהגו לאכול פה באזור א כן חמישה
[1121] 49:29 | פרקים כל אחד מתמקד בחומר גלם בסיסי מאוד
[1122] 49:32 | אחר קמח ירקות קטניות דגים בשר סדרה שממש
[1123] 49:36 | הולכת כזה למקורות ההיסטוריים שלנו הם
[1124] 49:39 | מתבססים הרבה מאוד על הספר של דוקור טובה
[1125] 49:42 | דיקשטין לדעתי דיברנו איתה פעם פה מסעש
[1126] 49:44 | שורשים שהיא ממש חקרה את הדבר הזה של מה
[1127] 49:46 | אכלו פה היהודים הקדמונים מי שעשה את
[1128] 49:49 | הסדרה הזאת זה עופר אנגל שעשה גם את אנחנו
[1129] 49:51 | על המפית וזה כאילו באמת ראיתי כבר שלושה
[1130] 49:53 | פרקים כיף של דבר א
[1131] 49:55 | >> טוב שיש שידור ציבורי ועל הדרך גם נרים
[1132] 49:57 | להם נרים להם גם למה שקורה במהדורות של א
[1133] 50:01 | של החדשות שלהם בכאן שממש שינוי תפיסה
[1134] 50:04 | בחודשים האחרונים של הרבה יותר אייטמים
[1135] 50:06 | אייטמים של
[1136] 50:07 | >> אוכל אוכל מושקעים יותר ממה שיש ב-12
[1137] 50:10 | וב-13 צריך להגיד האייטמים יותר מושקעים
[1138] 50:12 | גם ברמת התחקיר גם ברמת ה א העומק שמגיעים
[1139] 50:16 | אליו בכתבות לא קצרות א ממש יפה מה שקורה
[1140] 50:20 | בתאגיד בהיבט הזה
[1141] 50:21 | >> מסכים אז התחפשו את הדבר הזה יש גם בכזה
[1142] 50:24 | קאן בוקס ובאפליקציות וזה הצלחת של הארץ
[1143] 50:26 | המובטחת זה השם א ובאמת אסף דוקטור אין
[1144] 50:30 | אין לי אלא להסיר את הכובע משבוע הבא גם
[1145] 50:33 | נתן יש גם איזה ארוחת בוקר חדשה ומסכרנת
[1146] 50:35 | באחים ש ראיתי את זה ואמרתי אוקיי זה זה
[1147] 50:38 | צריך לבד שנת יודעת מזה אז אבא
[1148] 50:40 | >> כן הולך אתה יכול לכל ב
[1149] 50:41 | >> טוב דיברתם המון זמן ואנחנו כבר מתחילים
[1150] 50:44 | להיות קצרים אז אני היום אהיה מעודק
[1151] 50:46 | בהמלצה שלי הייתה המלצה מעודקת אה אתה
[1152] 50:49 | יודע אנחנו עושים את זה לא פעם אמית א
[1153] 50:51 | שככה א מה שנקרא תהליך של א בקרת איכות
[1154] 50:56 | כאילו נתה ממליצה ואז אני הולך אחרי זה
[1155] 50:58 | כזה בשקט לבדוק לראות שזה באמת א
[1156] 51:01 | >> חוקח עלי
[1157] 51:02 | >> ברור
[1158] 51:03 | >> נו
[1159] 51:04 | >> לראות שזה באמת א שיש אחיזה זה במציאות מה
[1160] 51:07 | >> הוא פשוט זה זה שני דברים א' הוא פשוט
[1161] 51:09 | באמת מאוד סומך עלייך והוא מאוד אוהב כזה
[1162] 51:12 | בראנצ'ים עגלות הוא אוהב את החלבים הוא
[1163] 51:15 | >> לא הג כבר לא לא באופנה
[1164] 51:17 | >> זהו יצא יצא הגעגלות כבר לא
[1165] 51:20 | >> ראיתי אותו משוטט כסרורי בפרק המסילה מחפש
[1166] 51:24 | הולך כן מה
[1167] 51:26 | >> א
[1168] 51:26 | >> אז איפה היית
[1169] 51:28 | >> אז הייתי במקום שיש שנתן הליצה עליו לפני
[1170] 51:30 | חודש וחצי וועפה עליו וממש סיקרן אותי וזה
[1171] 51:34 | לא עגלת קפה ולא ברנץ'
[1172] 51:36 | אלא הזה באשדוד ואין לי אין לי באמת אני
[1173] 51:39 | חושב ש בהתייחסות שלך דיברת כמובן דיברת
[1174] 51:42 | מספיק על המקום על הלוקישן על הקסם על ה
[1175] 51:45 | על השינויים המשמעותיים שהחבר'ה החדשים שם
[1176] 51:48 | עשו ונזכיר שבמקור כאילו זה מקום שעובד
[1177] 51:50 | כבר איזה תשע שנים בבסיס שלו הוא מסדת
[1178] 51:52 | המבורגרים קלאסית א שעכשיו עשתה באמת
[1179] 51:56 | שדרוג בכל האלמנטים הנוספים של הבשר
[1180] 51:58 | >> אוקיי שניתה יותר ברסרי כזה בעצם נכון
[1181] 52:01 | אוקי בתפריט בלוק אפיל ובאיך שהמקום הזה
[1182] 52:05 | זה נראה איזה עדיין המבורג נראה כמו כן ב
[1183] 52:09 | כן בית קפה אפילו כמעט מוזנח על חוף הים
[1184] 52:12 | אבל מסתדר שמוכן
[1185] 52:13 | >> בחוץ יפה
[1186] 52:14 | >> לא ביום שאני הייתי בכל אופן לא ביום ש
[1187] 52:16 | הייתי ביום קר כזה פחות כאילו שקיעה מדהים
[1188] 52:20 | כאילו הים פרוס לפנייך אבל זה די אשולחנות
[1189] 52:23 | סתם
[1190] 52:25 | >> הייתי הייתי שוקל שם שינוי עיצובי אולי
[1191] 52:27 | אבל א אבל לא הכוונה פה היא באמת להחמיא
[1192] 52:30 | להחמיא בעיקר באמת הלכתי שם על מגוון רחב
[1193] 52:33 | של דברים אבל נראה לי שחשוב להדהד עדיין
[1194] 52:35 | הם הם שמרו על המורשת והמבורגר שלהם הוא
[1195] 52:38 | הוא יוצא מן הכלל בכל א בכל שלביו ובכל
[1196] 52:43 | הבתיו א סגנון ייחודי משלהם מלחמניה נדירה
[1197] 52:50 | ושמנונית א שקלויה בצורה מופתית א לקחנו
[1198] 52:55 | במקרה הזה יש שם כמה אופציות הלכנו על על
[1199] 52:57 | הסמאש שגם היה בדיוק עשוי כמו שצריך
[1200] 53:00 | בטעמים אדירים א אני ממליץ על זה אני אבל
[1201] 53:04 | יותר מזה אני ממליץ זה אני פשוט ממליץ
[1202] 53:06 | בעצם ההמלצה שלי על נטע זה נראה זה נהדר
[1203] 53:10 | >> אה אני
[1204] 53:11 | >> רגע מה עוד אכלת יש שם עוד איזה
[1205] 53:13 | >> אכלתי מלא אכלתי את כל התפריטות
[1206] 53:16 | >> והרוב היה ממש ממש מוצלח יש לי אולי אני
[1207] 53:20 | יודע איזה השגה על גודל המנות אבל גם לא
[1208] 53:23 | יקרות מדי אפילו אפילו זולות מאוד יחסית
[1209] 53:25 | הראשונות
[1210] 53:26 | >> הלחם שלהם הוא לחם טירס
[1211] 53:27 | >> כן
[1212] 53:28 | >> א נגיד הראשונות הראשונות הן נורא נורא
[1213] 53:30 | זולות אבל הם לא גדולות במיוחד נגיד הערה
[1214] 53:34 | כזאת זו אחרת לא אכפת לי תעלו ב1 שק ותנו
[1215] 53:36 | לי קצת יותר א בשר אבל הכל מבוצע ממש טוב
[1216] 53:39 | ובשר בשר בשר בשר בשר אין אין הרבה מעבר
[1217] 53:43 | והכל מבוצע טוב ויצירתי מסדת חוף מאוד
[1218] 53:46 | מאוד מעניינת הזה לא לא קשר
[1219] 53:49 | >> ושםבר מאוד מאוד נעים ואני מניח שבעונות
[1220] 53:52 | שנה פחות יותר ידידותיות מחורף גשום א
[1221] 53:56 | נחמד שם מאוד בחוף הקשטות באשדוד וכמובן
[1222] 53:59 | אני שוב אין לי מה אני אני מחזיר את מה
[1223] 54:01 | שנתא אומרת מצטרף לכל שמח מאוד
[1224] 54:04 | >> להצטרף לכל מה שקורה באשדוד זה באמת א פלא
[1225] 54:08 | ממש א יפה מאוד טוב א
[1226] 54:12 | >> המבורגר המבורגר עם הלחמניה לחמניה גמרה
[1227] 54:15 | אותי
[1228] 54:16 | >> א נצא מפה בקריאה לבעלי המסעדה תשקיעו
[1229] 54:19 | במנוי פרימיום לוויקס ותורידו את הפרסומות
[1230] 54:22 | מהאתר שלכם עוד שאנחנו מאוד שמיחים לראות
[1231] 54:25 | שאנחתם בונים אתרים בוויקס א
[1232] 54:29 | מבקרים בזריזות א סגי כהן היה במקום
[1233] 54:36 | אני מודה קצת שחקנו עליו כאן בהתחלה על
[1234] 54:38 | הכוסר מקוריות אבל נשמע שהוא עושה דברים
[1235] 54:40 | ממש טובים סך הכל גם רייתה גולשטיין ראיתי
[1236] 54:43 | שהייתה ונהנתה א מקום קולינה בקיסריה
[1237] 54:47 | >> אה שראינו הרבה מנות שהם א
[1238] 54:49 | >> שאמרנו זה מפה וזה מפה וזה מפה אבל וואלה
[1239] 54:52 | כנראה שהעבודה
[1240] 54:54 | שנעשית היא טובה ביקורת נדירה של סטגי כהן
[1241] 54:57 | במובן הזה שהיא באמצע כלומר היא לא לפה
[1242] 55:00 | ולא לפה זה לא איזה שחיטה מפוארת מה
[1243] 55:02 | >> עכשיו בוא נגיד בוא נשים את הקלפים על
[1244] 55:04 | השולחן רוב החוויות ברוב המסעדות בטח
[1245] 55:07 | שנגיד הולכים לטאום וכאלה וזה ולא אתה לא
[1246] 55:11 | שומר את עצמך לטופ אלא חי את העולם הזה אם
[1247] 55:14 | זה כמבקר או כמסכר רוב המסעדות הרוב
[1248] 55:18 | המוחלט של המסעדות הן בינוניות
[1249] 55:20 | >> נכון
[1250] 55:21 | >> זאת אומרת אתה לפעמים פה אולי מוצא איזה
[1251] 55:22 | מנה מוצלחת או פה חלילה איזה טרגדיה הרוב
[1252] 55:26 | הוא בינוני ואצל סגי אין בינוני אף פעם
[1253] 55:30 | בביקורת זאת אומרת זה או מופתי או אסוני
[1254] 55:34 | >> וכאן קרה קרתה המורכבות שפוקדת את כולנו
[1255] 55:38 | בכל יום בעצם קרתה לו עוד מורכבות נחמדה
[1256] 55:41 | שגם קוראת הרבה פעמים אתם מכירים את זה את
[1257] 55:43 | האמנות שטעימות ולא ברור איך ולמה אז הוא
[1258] 55:46 | מתאר חפסת למונה שהוא קיבל שם הוא כותב
[1259] 55:49 | היא הייתה סמתכה שיש לי המון דברים רעים
[1260] 55:51 | להגיד עליה ורק דבר אחד טוב היא הייתה
[1261] 55:54 | טעימה
[1262] 55:55 | >> גדול
[1263] 55:55 | >> טעימה מוזר אבל הצלחת נשארה ריקה א קורה
[1264] 55:59 | לכם לפעמים שאתם כזה אוכלים משהו ולא ברור
[1265] 56:01 | לכם למה אתם ממשיכים לאכול אבל אתם לא
[1266] 56:02 | מסוגלים להפסיק
[1267] 56:03 | >> סיפור חיי
[1268] 56:06 | >> לא פעם ולא פעמיים
[1269] 56:08 | >> אור
[1270] 56:09 | >> יפה א אני סכר לגבי המקום הזה
[1271] 56:12 | >> טקסט נהדר אגב אכאילו לכתוב לכתוב אני הרי
[1272] 56:16 | לא האסון באמת
[1273] 56:18 | >> או האתגר הבאמת שוב ברמת הכתיבה לדעתי כן
[1274] 56:21 | זה באמת לכתוב על הבינוני שזה מעולה אז
[1275] 56:24 | ברור צריך פה להרים כן להיות זהיר עם
[1276] 56:26 | סופרטיבים וכאלה אבל לדעת אתה יודע במה
[1277] 56:28 | אתה מתמקד שזה גרועכ
[1278] 56:30 | >> אוקיי אוקיי, ברור. כשזה בינוני, איפה איך
